path,sentence,up_votes,down_votes,age,gender,accent
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_29162779.mp3,Mac-Auley alihitimu na shahada ya Kiingereza katika Delta State university.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28660506.mp3,Ni kati ya miji ya kwanza iliyoundwa na Wahispania katika Amerika Kusini.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_32436586.mp3,Vadhee va dhamani valichwambia sungura ni n'janja,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31932362.mp3,Wataarifu wezi wenzako waliopo kule watoke,3,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31932371.mp3,Yule mama adondoa mtele,2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30644447.mp3,Kridinal Adam Stefan Sapieah alikuwa askofu mkuu wa kanisa katoriki,3,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30644453.mp3,Anasema baada ya hapo ulikuja utawala wa Mahdali na ujenzi uliimarishwa zaidi,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_32366364.mp3,Kingiyacho mjini si haramu,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_32366407.mp3,Watoto watukutu wamfuja mimeangwa,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30642034.mp3,Wajerumani wakaifanya Bagamoyo kuwa makao yao makuu ya utawala katika Afrika ya Mashariki,3,2,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30642035.mp3,wamasai wameishi ngorongoro kwa zaidi ya miaka mia moja na hamsini,2,1,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31365653.mp3,Natamani kulificha mtu asiweze kuliona wala kulidhihaki ua langu la thamani,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31365654.mp3,Warsha hizi zilikuwa zinafanyika Chuo Kikuu cha Kilimo na Teknolojia cha Jomo Kenyatta.,4,3,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28929603.mp3,Mgawanyo wa madaraka si jambo jipya katika historia.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28929768.mp3,Anachezea timu ya taifa ya Kenya.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31504487.mp3,maporomoko ya kimani yanapatikana ndani ya pori la akiba la mpanga kipengere,2,0,twenties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31504488.mp3,Maradona hakuwa kocha aliyefanya vizuri,2,0,twenties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31071421.mp3,Natumai kwamba nitawatia moyo watu wengine kujitokeza na kuikwea milima yao,3,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31071423.mp3,sababu ulikuwa mwaka ambao ilifanya maamuzi nyeti,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31358180.mp3,Biashara hiyo ikabadilisha muonekano wa mji wa Zanzibar,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31358181.mp3,bunge ni moja kati ya mihimili mikuu ya taifa la tanzania,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30658356.mp3,Huonekana kama pazia kubwa jeupe nyakati za mchana,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30658359.mp3,Katika karne ya kumi na sita Wareno walikuwa mstari wa mbele katika biashara hii,2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_34815430.mp3,kunalo pia kabila la mwere kutoka juu ya mto nile,2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_34815428.mp3,ulienea haraka toka Yerusalemu hata Lida Yafa Kaisaria Samaria Damasko,2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_32100185.mp3,Chia saini uipeke kadi kwa chifu.,4,2,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_32100186.mp3,Kuku wanga kanaata mayai maili,2,0,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28581273.mp3,Kuna kiasi kidogo cha mvua.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28581276.mp3,"Maamoun pia ni mwanachama wa ""The Academy of the Arts of the World"".",2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30711826.mp3,Na kuanza kuwa na hamu ya kujua zaidi kuhusu uwanja huu wa kitaaluma.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30711829.mp3,Usitumie glavu tena.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30585666.mp3,Rungwe unazidiwa urefu wa mita moja tu na Mlima Mtorwi,3,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30585667.mp3,Yatupasa vijana kufuata malezi na maneno ya busara kutoka kwa wazazi wetu,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28813912.mp3,Mifugo ilikuwa kazi ya Waafrika.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28813913.mp3,Pia alipata kuwa mmoja wa matajiri duniani kwa muda mfupi.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30574602.mp3,Uchumi wa mkoa unategemea zaidi kilimo ambacho huchangia kiasi cha asilimia sitini,2,0,thirties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30574617.mp3,Patrice Lumumba alijiunga na klabu ambazo zilikuwa za waafrika wenye elimu ya kibelgiji,2,0,thirties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31139631.mp3,kuingia fainali ya ulaya mara mbili mfululizo siyo rahisi,2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31139633.mp3,wanasayansi wengi walishindwa kubaini jinsia yake,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28245620.mp3,"Walikuwa na binti mmoja, Kelli, na baadaye talaka.",2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28245622.mp3,"Makao makuu yalikuwa Ar-Raqqah, Syria.",2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31228883.mp3,Laki tisa arobaini na tano elfu na themanini na saba,2,1,teens,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31229049.mp3,Kinywa ni jumba la maneno,4,1,teens,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28259061.mp3,"Mboga huwa sehemu za uzazi, kike na kiume katika mmea mmoja.",2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_28259063.mp3,Polio ni ugonjwa wa mfumo mkuu wa neva.,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30563097.mp3,Aliamka mapema sana jana,3,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30563098.mp3,Twende tukatembee mjini usiku,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31855759.mp3,Sogeza gari mbele.,2,1,twenties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30585846.mp3,Huwa hawajui kupika samaki na ni wasiri sana,3,2,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30585847.mp3,Ambapo kongosho hushindwa kuzalisha insulini kwa kiwango kinachohitajika mwilini,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30621176.mp3,Wakati unatembelea familia:,2,1,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30621182.mp3,Mtoto wa kwanza Joseph wa Ngao alitawazwa kuwa Chifu wa kizazi hicho,2,1,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30623625.mp3,mazao ya biashara ni pamoja na korosho,4,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30623626.mp3,Mwanangu anafanya kazi bandarini,3,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31855574.mp3,Mwana ndhuri ni ule apendae kuridhiya vadhadhi vake.,2,0,twenties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31855895.mp3,"""Mke wangu ambadilika sana, tabia zimebadilika, yaweza kuwa hata mavazi yake yamebadilika""",2,0,twenties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31855572.mp3,Huyu anzoea kupeleka watu atakavyo yeye,2,0,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31855575.mp3,Wenda kuswali saa ngapi?,2,1,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30604507.mp3,Simba alimfunga Yanga magoli matano,2,1,twenties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30604511.mp3,viongozi waliyopita walielewa umuhimu raisi mwinyi,3,0,twenties,male,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31431320.mp3,lakini jina lake lilikuwa juu zaidi wakati Ufaransa inatwaa kombe la dunia,4,0,,,Good
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31431323.mp3,Pep alionekana kushindwa kuwapa kombe hilo,6,4,,,Good
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_32304882.mp3,Mwenechu ndio mwenye mamlaka chuvoni,4,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_32304884.mp3,"""Ni kipande, chochote""",2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31148899.mp3,Nimewapa maelezo yangu binafsi ya Kiswahili.,2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31148905.mp3,Watu waliamua kupaita eneo hilo kwa Mdigo,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31375972.mp3,Hata hivyo bado fursa hii ipo na mahali pa kuanzia pia papo,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31375973.mp3,Mwenye lake hawachi,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30644690.mp3,Hubadilisha rangi kutoka Samawati hadi nyeusi,2,0,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30644691.mp3,Kutokana na utafiti wa kiuchumi wa mwaka elfu mbili na tano,2,1,,,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31896220.mp3,Nchu akipekwa kochini ruhu huva na kicho nno.,2,0,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_31896224.mp3,Kaka kalipa bili ya maji ya mwaka nzima,2,0,twenties,female,
C:\Users\Ara\.cache\huggingface\datasets\downloads\extracted\67a9573851dd389f75274076290c44fed53d4f49e704ec6ca18d2358b2b1c18c\sw_test_0/common_voice_sw_30644748.mp3,Aina mbalimbali za Samaki Mamba na viboko hupatikana katika mto huu,2,0,,,
